date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:45:23	67/67	---M--	200	added ('OK')	text/plain	date:Mon,%2023%20Sep%202024%2004:45:22%20GMT	http://kaffa.like-themes.com/robots.txt		(from )
12:45:24	171108/171108	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Sep%202024%2004:45:23%20GMT	http://kaffa.like-themes.com/home-coffee-shop/	C:/Users/INS-MS-058CARIE/Downloads/ahrome/kaffa.like-themes.com/home-coffee-shop/index.html	(from )
12:45:25	53593/53593	---M--	200	added ('OK')	text/css	etag:%22d159-5a81046e4904d%22	http://kaffa.like-themes.com/wp-includes/css/dist/block-library/style.min.css?ver=5.4.16	C:/Users/INS-MS-058CARIE/Downloads/ahrome/kaffa.like-themes.com/wp-includes/css/dist/block-library/style.mine789.css	(from http://kaffa.like-themes.com/home-coffee-shop/)
12:45:26	1954/1954	---M--	200	added ('OK')	text/css	etag:%227a2-5a81046e480ad%22	http://kaffa.like-themes.com/wp-includes/css/dist/block-library/theme.min.css?ver=5.4.16	C:/Users/INS-MS-058CARIE/Downloads/ahrome/kaffa.like-themes.com/wp-includes/css/dist/block-library/theme.mine789.css	(from http://kaffa.like-themes.com/home-coffee-shop/)
12:45:28	66058/66058	---M--	200	added ('OK')	text/css	etag:%221020a-5d9e9b868008e%22	http://kaffa.like-themes.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=2.5.16	C:/Users/INS-MS-058CARIE/Downloads/ahrome/kaffa.like-themes.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style60a8.css	(from http://kaffa.like-themes.com/home-coffee-shop/)
12:45:28	1746/1746	---M--	200	added ('OK')	text/css	etag:%226d2-5a8104aa477a7%22	http://kaffa.like-themes.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.9	C:/Users/INS-MS-058CARIE/Downloads/ahrome/kaffa.like-themes.com/wp-content/plugins/contact-form-7/includes/css/styles38c6.css	(from http://kaffa.like-themes.com/home-coffee-shop/)
12:45:28	2154/2154	---M--	200	added ('OK')	text/css	etag:%2286a-57b5e864eb280%22	http://kaffa.like-themes.com/wp-content/plugins/lt-custom/css/lt-custom.css?ver=1.0	C:/Users/INS-MS-058CARIE/Downloads/ahrome/kaffa.like-themes.com/wp-content/plugins/lt-custom/css/lt-custom5152.css	(from http://kaffa.like-themes.com/home-coffee-shop/)
12:45:28	3422/3422	---M--	200	added ('OK')	text/css	etag:%22d5e-57a7fefca4880%22	http://kaffa.like-themes.com/wp-content/plugins/lt-custom/css/colorpicker.css?ver=1.0	C:/Users/INS-MS-058CARIE/Downloads/ahrome/kaffa.like-themes.com/wp-content/plugins/lt-custom/css/colorpicker5152.css	(from http://kaffa.like-themes.com/home-coffee-shop/)
12:45:29	47564/47564	---M--	200	added ('OK')	text/css	etag:%22b9cc-5bffac307abc0%22	http://kaffa.like-themes.com/wp-includes/css/dashicons.min.css?ver=5.4.16	C:/Users/INS-MS-058CARIE/Downloads/ahrome/kaffa.like-themes.com/wp-includes/css/dashicons.mine789.css	(from http://kaffa.like-themes.com/home-coffee-shop/)
12:45:30	289/289	---M--	200	added ('OK')	text/css	etag:%22121-5a8104ae568b8%22	http://kaffa.like-themes.com/wp-content/plugins/post-views-counter/css/frontend.css?ver=1.3.2	C:/Users/INS-MS-058CARIE/Downloads/ahrome/kaffa.like-themes.com/wp-content/plugins/post-views-counter/css/frontend9e1e.css	(from http://kaffa.like-themes.com/home-coffee-shop/)
12:45:31	17639/17639	---M--	200	added ('OK')	text/css	etag:%2244e7-5d9e9b857762a%22	http://kaffa.like-themes.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=4.2.5	C:/Users/INS-MS-058CARIE/Downloads/ahrome/kaffa.like-themes.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layoutd19b.css	(from http://kaffa.like-themes.com/home-coffee-shop/)
12:45:31	6758/6758	---M--	200	added ('OK')	text/css	etag:%221a66-5d9e9b857a50a%22	http://kaffa.like-themes.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=4.2.5	C:/Users/INS-MS-058CARIE/Downloads/ahrome/kaffa.like-themes.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreend19b.css	(from http://kaffa.like-themes.com/home-coffee-shop/)
12:45:32	62511/62511	---M--	200	added ('OK')	text/css	etag:%22f42f-5d9e9b857762a%22	http://kaffa.like-themes.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=4.2.5	C:/Users/INS-MS-058CARIE/Downloads/ahrome/kaffa.like-themes.com/wp-content/plugins/woocommerce/assets/css/woocommerced19b.css	(from http://kaffa.like-themes.com/home-coffee-shop/)
